gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,some college,free/reduced,completed,65,62,61
male,group D,bachelor's degree,standard,none,61,59,54
male,group A,some high school,standard,none,57,50,50
male,group C,bachelor's degree,free/reduced,none,63,64,56
female,group B,associate's degree,free/reduced,completed,57,87,82
female,group E,associate's degree,standard,completed,100,100,100
female,group A,high school,standard,completed,84,86,91
female,group C,associate's degree,free/reduced,none,37,63,54
male,group C,some college,standard,none,68,63,64
male,group D,high school,standard,completed,90,88,88
male,group B,associate's degree,free/reduced,completed,79,69,76
male,group C,associate's degree,free/reduced,none,73,83,77
female,group C,some high school,standard,completed,65,79,75
male,group A,master's degree,standard,completed,93,91,95
female,group D,some college,standard,none,77,95,89
male,group E,some college,free/reduced,completed,77,72,72
female,group C,some high school,free/reduced,none,48,64,56
female,group D,some high school,standard,none,85,81,86
male,group B,some high school,standard,none,63,67,64
female,group E,some college,standard,none,75,70,69
male,group D,associate's degree,standard,none,84,77,75
male,group B,bachelor's degree,standard,completed,94,94,87
male,group B,associate's degree,standard,none,63,53,46
male,group E,bachelor's degree,free/reduced,completed,70,65,66
female,group D,some high school,standard,none,72,66,75
female,group C,associate's degree,free/reduced,completed,56,70,72
male,group C,bachelor's degree,standard,none,71,55,62
female,group B,some college,standard,none,64,82,76
female,group C,some high school,free/reduced,none,72,69,71
male,group B,some college,standard,none,88,85,78
female,group B,high school,standard,none,72,82,76
male,group C,high school,standard,none,64,65,58
male,group E,high school,free/reduced,none,72,64,57
female,group E,some college,standard,none,100,95,96
female,group B,bachelor's degree,standard,none,41,57,55
male,group C,some college,standard,none,78,83,77
female,group C,master's degree,free/reduced,none,69,80,82
female,group C,some high school,free/reduced,completed,53,72,74
male,group D,associate's degree,free/reduced,none,39,40,38
male,group D,some college,standard,none,94,89,89
male,group B,master's degree,standard,none,92,87,83
female,group C,bachelor's degree,free/reduced,none,58,76,69
female,group A,some college,free/reduced,completed,38,59,57
female,group D,high school,standard,completed,82,93,95
male,group D,some college,free/reduced,none,68,66,61
male,group D,associate's degree,free/reduced,none,39,46,43
female,group D,high school,standard,completed,40,56,60
female,group D,associate's degree,free/reduced,none,43,50,48
female,group A,some high school,free/reduced,none,56,73,73
male,group C,some college,standard,completed,77,82,86
male,group B,bachelor's degree,standard,none,84,70,68
female,group C,associate's degree,standard,completed,63,70,77
male,group E,some college,standard,none,77,63,53
male,group D,associate's degree,free/reduced,completed,71,76,74
female,group D,associate's degree,free/reduced,completed,38,55,57
male,group B,associate's degree,free/reduced,none,65,76,71
male,group E,associate's degree,standard,completed,100,98,91
male,group C,some college,standard,none,55,50,48
female,group E,bachelor's degree,free/reduced,none,44,55,53
female,group B,bachelor's degree,free/reduced,none,76,84,83
male,group C,high school,free/reduced,completed,49,69,62
male,group C,associate's degree,free/reduced,completed,85,83,84
male,group C,some high school,standard,none,44,41,43
female,group C,high school,standard,none,71,63,62
female,group B,associate's degree,standard,completed,65,74,79
male,group A,some high school,free/reduced,completed,69,72,64
male,group D,some high school,standard,none,68,64,58
female,group C,high school,standard,none,86,92,91
female,group A,some high school,standard,none,52,57,54
female,group C,associate's degree,standard,none,70,83,79
female,group D,some college,standard,completed,79,83,89
male,group C,high school,free/reduced,completed,78,87,84
male,group B,high school,standard,completed,73,83,80
female,group A,bachelor's degree,standard,none,76,91,85
female,group C,some college,standard,none,67,69,69
female,group D,high school,free/reduced,completed,29,46,48
female,group C,some high school,standard,none,55,65,66
male,group C,bachelor's degree,standard,none,60,50,48
female,group D,some high school,free/reduced,completed,60,71,72
male,group D,some college,standard,none,72,77,67
male,group D,some high school,standard,none,47,43,38
female,group E,some college,standard,none,75,70,77
female,group B,high school,standard,none,57,62,64
female,group A,high school,free/reduced,none,43,49,50
male,group A,master's degree,standard,none,51,48,45
male,group C,bachelor's degree,standard,none,76,74,66
female,group C,some college,standard,none,84,86,84
female,group C,high school,standard,none,44,50,44
male,group E,associate's degree,standard,none,72,63,59
male,group D,high school,standard,none,78,70,67
female,group E,some college,standard,none,79,92,85
female,group D,bachelor's degree,standard,none,93,95,100
female,group C,some college,standard,completed,74,85,88
male,group B,some high school,free/reduced,completed,45,49,49
male,group C,master's degree,free/reduced,none,75,79,74
male,group A,high school,free/reduced,completed,51,54,51
female,group B,associate's degree,standard,none,68,74,76
female,group D,associate's degree,standard,none,74,87,85
male,group C,high school,free/reduced,none,47,51,51
female,group D,some college,standard,none,43,50,50
male,group C,some college,free/reduced,none,67,78,68
female,group E,high school,standard,none,98,98,96
male,group B,associate's degree,standard,completed,65,64,65
female,group D,some high school,standard,completed,63,76,74
female,group A,some high school,free/reduced,completed,61,71,71
male,group A,associate's degree,standard,completed,83,81,77
female,group E,some college,standard,none,87,93,94
female,group B,some high school,standard,none,67,86,80
male,group C,some high school,standard,none,86,68,68
male,group D,some high school,standard,none,57,52,51
female,group B,some high school,free/reduced,none,37,47,42
male,group D,some college,standard,completed,66,68,76
female,group B,bachelor's degree,free/reduced,none,57,52,55
female,group B,associate's degree,standard,none,69,66,66
male,group B,high school,standard,none,63,67,58
female,group C,some college,standard,completed,83,97,100
female,group A,some college,free/reduced,completed,80,86,96
male,group B,some college,free/reduced,completed,74,78,78
female,group A,some high school,standard,none,80,83,81
female,group D,some college,free/reduced,completed,35,43,50
male,group D,high school,standard,none,85,77,70
male,group E,bachelor's degree,standard,none,89,79,79
female,group D,some college,standard,none,65,63,63
female,group B,bachelor's degree,standard,completed,58,72,73
female,group B,associate's degree,standard,none,90,97,96
female,group D,associate's degree,standard,none,40,41,44
female,group A,some high school,standard,none,60,58,57
male,group A,bachelor's degree,standard,completed,88,90,93
female,group A,high school,free/reduced,completed,54,68,72
male,group C,some college,free/reduced,completed,76,89,84
female,group D,some college,free/reduced,none,72,71,77
male,group B,some high school,standard,none,66,59,64
male,group B,some college,free/reduced,completed,69,75,70
female,group C,high school,standard,none,50,63,57
male,group B,associate's degree,standard,completed,87,86,80
female,group B,high school,standard,none,79,80,82
female,group C,associate's degree,standard,none,61,72,69
female,group A,some college,free/reduced,none,49,51,47
male,group D,some college,free/reduced,none,58,60,61
female,group A,high school,free/reduced,none,45,57,52
female,group B,some college,standard,none,68,67,69
female,group D,some high school,standard,none,61,68,64
male,group E,some college,free/reduced,none,64,62,65
female,group C,some high school,free/reduced,completed,64,81,83
female,group D,some college,standard,completed,84,83,92
female,group D,high school,free/reduced,completed,77,98,100
male,group B,some high school,free/reduced,none,47,51,42
female,group A,some college,standard,none,72,80,76
male,group B,bachelor's degree,standard,none,62,51,56
female,group C,high school,free/reduced,none,43,54,56
female,group B,bachelor's degree,standard,completed,62,74,76
female,group C,associate's degree,standard,none,64,69,68
male,group D,some college,standard,completed,77,69,67
male,group D,some college,standard,none,54,42,35
female,group B,some college,standard,completed,87,95,94
female,group C,some high school,free/reduced,completed,36,56,51
female,group C,high school,standard,none,64,78,72
male,group C,bachelor's degree,standard,completed,80,79,81
male,group E,high school,standard,none,95,86,85
male,group B,high school,free/reduced,none,63,64,57
female,group E,associate's degree,standard,none,76,93,94
male,group B,bachelor's degree,standard,none,84,78,81
male,group D,associate's degree,free/reduced,none,40,44,33
male,group D,high school,free/reduced,none,33,36,33
female,group C,associate's degree,free/reduced,completed,26,37,41
male,group C,master's degree,free/reduced,none,67,76,68
male,group C,associate's degree,standard,none,79,72,72
male,group C,some college,standard,completed,70,65,68
male,group C,some college,free/reduced,completed,44,53,53
female,group D,some college,free/reduced,completed,66,72,74
female,group B,associate's degree,standard,completed,90,98,100
female,group D,high school,standard,none,53,58,67
female,group D,some college,standard,completed,62,64,69
female,group C,associate's degree,standard,completed,50,63,68
female,group B,associate's degree,free/reduced,completed,60,78,81
male,group E,high school,standard,none,71,59,50
female,group C,some college,free/reduced,none,42,49,46
male,group C,associate's degree,standard,none,83,77,69
male,group C,high school,free/reduced,none,34,41,38
male,group D,some college,standard,completed,59,54,60
female,group C,some high school,standard,none,44,56,54
female,group E,high school,standard,completed,76,78,83
female,group D,some college,free/reduced,none,71,85,87
female,group D,high school,free/reduced,none,74,82,86
male,group C,some college,standard,none,58,50,56
male,group D,associate's degree,standard,completed,77,69,72
male,group C,some high school,standard,none,52,55,49
female,group B,some college,free/reduced,completed,35,44,47
female,group C,some high school,standard,none,45,57,56
female,group D,high school,standard,none,60,72,73
female,group C,some high school,standard,none,62,74,67
male,group D,associate's degree,standard,none,71,72,67
male,group A,bachelor's degree,standard,none,90,87,89
female,group C,high school,standard,none,53,61,54
female,group C,associate's degree,free/reduced,none,52,55,61
female,group D,associate's degree,standard,none,73,85,88
male,group D,some college,standard,none,85,72,77
male,group B,some high school,standard,none,55,52,49
female,group B,associate's degree,standard,completed,80,93,95
female,group D,some high school,standard,none,72,80,79
male,group C,some college,standard,none,70,62,64
female,group E,high school,free/reduced,none,68,76,72
male,group D,associate's degree,free/reduced,none,58,58,45
female,group B,associate's degree,standard,none,70,79,81
male,group E,some high school,free/reduced,none,67,56,50
female,group C,some high school,standard,completed,57,62,64
female,group C,bachelor's degree,standard,none,87,95,91
female,group C,some college,standard,completed,73,89,87
male,group A,master's degree,standard,completed,78,74,75
male,group B,some high school,standard,completed,75,69,69
female,group D,some college,standard,none,73,73,74
female,group C,some college,standard,none,43,64,55
male,group C,bachelor's degree,standard,none,73,66,64
male,group C,high school,standard,none,58,51,49
male,group D,associate's degree,standard,none,79,73,65
female,group B,some college,standard,none,59,56,61
male,group D,some high school,free/reduced,completed,67,65,63
female,group A,some high school,standard,completed,70,81,81
female,group D,associate's degree,free/reduced,none,40,49,52
female,group C,some college,standard,completed,81,89,90
female,group C,some high school,standard,none,29,53,47
male,group A,some college,standard,none,71,60,65
female,group E,some high school,free/reduced,completed,65,68,68
male,group C,some high school,free/reduced,completed,59,57,54
female,group E,associate's degree,standard,completed,88,99,93
male,group C,some college,free/reduced,none,43,47,44
male,group A,bachelor's degree,free/reduced,none,70,81,77
male,group D,high school,free/reduced,none,68,68,61
male,group E,associate's degree,free/reduced,completed,85,82,81
female,group A,some high school,standard,none,70,77,71
male,group E,associate's degree,standard,none,86,70,66
male,group C,some college,standard,completed,84,79,80
female,group B,high school,standard,none,77,83,79
female,group B,bachelor's degree,standard,none,69,76,83
female,group B,some college,standard,none,68,83,83
male,group A,associate's degree,standard,completed,69,74,72
male,group B,associate's degree,free/reduced,completed,83,82,78
male,group D,some high school,standard,none,60,50,52
male,group E,associate's degree,free/reduced,none,54,61,50
male,group E,some college,free/reduced,none,71,71,68
female,group B,high school,standard,completed,77,74,80
male,group D,high school,free/reduced,completed,48,53,52
male,group C,bachelor's degree,free/reduced,none,67,54,58
male,group E,associate's degree,standard,completed,66,52,55
female,group A,some college,free/reduced,none,33,47,42
male,group D,bachelor's degree,standard,completed,82,84,89
female,group C,bachelor's degree,standard,none,74,75,72
female,group E,associate's degree,standard,completed,63,72,67
male,group C,high school,free/reduced,completed,78,77,78
male,group B,some college,standard,none,61,63,60
male,group C,some college,standard,completed,78,79,77
female,group D,associate's degree,free/reduced,none,56,70,71
female,group B,some high school,standard,none,65,77,71
male,group D,bachelor's degree,free/reduced,none,65,46,46
female,group C,bachelor's degree,standard,none,55,65,64
male,group D,some high school,standard,completed,90,88,88
male,group B,high school,standard,completed,64,62,67
male,group B,some high school,free/reduced,none,38,46,38
male,group B,some college,free/reduced,none,76,83,72
male,group D,some college,standard,none,63,53,55
male,group C,some college,free/reduced,completed,87,83,81
male,group C,some high school,standard,none,59,45,47
female,group C,bachelor's degree,standard,none,79,79,83
female,group B,master's degree,free/reduced,completed,56,76,78
male,group D,associate's degree,standard,none,46,42,47
female,group C,some high school,free/reduced,none,46,51,51
female,group D,some high school,standard,completed,83,89,93
male,group B,some high school,free/reduced,none,72,67,63
female,group B,associate's degree,standard,none,49,53,53
female,group C,high school,standard,none,82,86,87
female,group E,bachelor's degree,standard,completed,83,88,87
male,group C,some high school,standard,completed,61,52,55
female,group B,some college,standard,none,61,75,69
female,group D,associate's degree,standard,none,67,85,83
female,group D,some college,free/reduced,completed,46,64,63
female,group C,some college,standard,none,64,74,73
male,group B,high school,standard,none,56,58,45
male,group E,some college,standard,none,73,76,66
female,group C,high school,standard,completed,59,64,68
male,group E,some high school,standard,none,83,74,67
female,group A,bachelor's degree,standard,none,77,87,85
male,group C,high school,free/reduced,none,44,40,40
female,group E,some high school,free/reduced,completed,69,75,75
female,group C,bachelor's degree,free/reduced,none,60,75,67
male,group E,some high school,standard,none,61,59,56
male,group C,some college,standard,completed,53,49,48
female,group B,some high school,standard,none,68,75,72
female,group B,associate's degree,standard,none,47,48,52
female,group B,bachelor's degree,free/reduced,none,61,70,69
female,group B,some college,standard,none,47,57,54
female,group B,bachelor's degree,standard,completed,46,45,61
male,group D,associate's degree,standard,completed,94,88,92
male,group C,some college,standard,none,72,71,70
male,group D,high school,free/reduced,completed,60,77,69
male,group B,bachelor's degree,standard,none,85,73,81
male,group B,high school,standard,none,62,57,53
female,group C,high school,standard,completed,63,69,71
male,group D,associate's degree,standard,none,64,61,57
female,group D,associate's degree,standard,completed,73,83,83
male,group D,some college,standard,completed,92,88,95
male,group C,some high school,free/reduced,none,53,52,49
male,group C,some college,free/reduced,none,67,66,63
female,group D,associate's degree,free/reduced,none,63,64,66
female,group C,some college,free/reduced,none,61,71,69
male,group E,some college,standard,completed,99,84,85
female,group D,bachelor's degree,free/reduced,completed,53,65,79
male,group C,some high school,free/reduced,none,61,69,59
female,group D,bachelor's degree,free/reduced,none,57,72,78
male,group B,high school,standard,none,56,56,46
male,group D,associate's degree,standard,none,70,57,63
male,group E,master's degree,free/reduced,completed,92,87,88
female,group C,bachelor's degree,standard,none,71,74,71
female,group D,some high school,standard,completed,59,59,62
male,group D,associate's degree,standard,completed,81,80,86
male,group D,bachelor's degree,standard,completed,86,95,99
female,group C,high school,standard,none,94,93,87
male,group B,some college,standard,completed,67,71,73
female,group C,high school,standard,none,40,56,55
male,group E,high school,free/reduced,none,61,63,51
female,group E,master's degree,standard,none,87,93,91
female,group D,some college,standard,none,73,82,85
male,group B,some college,free/reduced,none,46,48,52
male,group B,high school,standard,none,65,56,57
male,group E,associate's degree,standard,none,64,60,56
male,group B,associate's degree,standard,none,75,79,71
male,group B,associate's degree,standard,none,76,83,81
female,group B,some high school,standard,none,55,63,58
male,group D,some college,standard,none,54,53,55
male,group C,some college,standard,completed,80,80,84
female,group D,some college,standard,completed,51,66,70
male,group B,high school,free/reduced,none,37,40,36
female,group C,some high school,free/reduced,completed,61,77,72
male,group D,associate's degree,free/reduced,none,52,49,49
male,group B,some college,standard,none,68,68,68
female,group B,bachelor's degree,free/reduced,completed,83,93,99
male,group D,associate's degree,standard,none,77,84,83
female,group C,some college,free/reduced,none,38,47,45
female,group C,high school,standard,none,52,67,66
female,group C,associate's degree,standard,none,73,79,81
male,group D,some high school,free/reduced,none,54,50,53
male,group D,some high school,free/reduced,completed,64,60,62
male,group A,master's degree,standard,none,73,61,57
male,group A,some high school,standard,none,55,56,54
male,group A,bachelor's degree,standard,completed,72,68,68
female,group C,some college,standard,none,83,95,96
male,group E,bachelor's degree,standard,none,62,65,57
male,group C,high school,standard,none,72,71,61
female,group C,associate's degree,standard,none,50,61,68
male,group D,some high school,free/reduced,completed,46,40,42
male,group E,high school,free/reduced,none,57,55,47
male,group E,some college,standard,none,74,65,55
male,group E,high school,free/reduced,completed,99,85,89
male,group C,associate's degree,free/reduced,completed,74,82,76
female,group B,some high school,free/reduced,completed,64,71,80
male,group A,associate's degree,standard,none,54,53,41
female,group D,some college,standard,none,77,79,80
male,group C,associate's degree,standard,completed,88,89,92
male,group B,associate's degree,standard,completed,82,72,80
male,group D,associate's degree,standard,none,73,67,67
female,group B,associate's degree,standard,completed,75,93,88
male,group D,some college,standard,completed,86,82,84
male,group D,bachelor's degree,standard,none,58,46,50
male,group D,associate's degree,standard,none,87,90,80
male,group C,bachelor's degree,standard,none,87,96,93
male,group B,associate's degree,standard,none,43,39,34
male,group C,bachelor's degree,free/reduced,completed,44,47,44
male,group D,some college,standard,none,54,50,52
male,group D,some college,free/reduced,none,59,59,62
male,group A,some college,standard,none,54,52,49
female,group D,high school,standard,completed,40,47,52
male,group C,some college,free/reduced,completed,65,77,74
female,group B,some high school,free/reduced,none,53,62,57
female,group D,bachelor's degree,free/reduced,completed,68,78,82
male,group C,some high school,standard,none,56,45,49
female,group D,bachelor's degree,standard,none,64,61,62
female,group C,bachelor's degree,standard,completed,75,78,83
female,group D,some college,free/reduced,none,60,68,69
male,group C,some high school,standard,completed,53,57,54
female,group B,bachelor's degree,free/reduced,completed,67,84,81
female,group E,associate's degree,standard,completed,99,100,100
male,group E,bachelor's degree,standard,completed,100,100,100
female,group C,high school,standard,completed,80,87,89
female,group C,associate's degree,standard,completed,73,92,90
male,group E,associate's degree,standard,none,73,72,62
male,group B,high school,standard,completed,96,86,83
male,group D,some high school,free/reduced,none,58,65,60
female,group B,associate's degree,free/reduced,completed,51,61,61
male,group A,associate's degree,standard,completed,86,81,82
male,group D,some college,free/reduced,completed,49,49,51
female,group C,high school,standard,completed,78,87,87
female,group C,master's degree,free/reduced,completed,43,69,70
male,group A,high school,free/reduced,none,68,61,60
male,group E,bachelor's degree,free/reduced,completed,57,58,57
female,group D,associate's degree,free/reduced,none,62,71,75
female,group C,high school,standard,none,73,73,70
male,group C,associate's degree,standard,completed,73,69,69
male,group C,bachelor's degree,standard,none,83,73,71
male,group D,associate's degree,standard,none,72,67,68
male,group C,some college,standard,completed,89,87,87
female,group B,high school,free/reduced,none,47,54,52
male,group D,high school,standard,completed,68,67,73
male,group E,some college,standard,none,96,80,80
male,group E,associate's degree,standard,none,54,40,37
female,group E,master's degree,standard,none,83,79,81
female,group D,high school,standard,none,50,63,60
male,group C,some college,standard,none,62,63,60
female,group B,associate's degree,standard,completed,94,91,94
male,group C,bachelor's degree,standard,none,71,70,74
female,group D,some high school,standard,none,69,78,77
female,group D,some high school,free/reduced,none,40,57,55
female,group D,some high school,free/reduced,completed,45,52,60
female,group C,associate's degree,standard,completed,55,60,67
male,group D,master's degree,free/reduced,completed,59,57,59
male,group D,some college,standard,completed,75,81,75
male,group C,associate's degree,free/reduced,completed,63,49,52
female,group C,some high school,free/reduced,none,60,63,61
male,group B,some high school,standard,completed,77,70,67
male,group D,associate's degree,free/reduced,none,49,47,51
female,group E,bachelor's degree,standard,none,66,70,66
female,group C,some high school,free/reduced,none,35,54,54
female,group D,associate's degree,free/reduced,completed,57,63,64
male,group B,high school,standard,none,83,89,79
male,group D,some college,standard,none,85,79,80
male,group C,bachelor's degree,standard,completed,64,63,68
male,group A,bachelor's degree,standard,none,71,66,61
male,group D,some college,standard,completed,100,100,98
female,group D,master's degree,standard,completed,83,98,99
female,group E,associate's degree,standard,none,50,55,58
female,group C,some college,standard,completed,81,88,96
female,group C,high school,standard,none,61,60,61
male,group D,associate's degree,free/reduced,completed,85,75,83
female,group C,high school,standard,none,59,73,74
female,group B,associate's degree,standard,none,79,85,83
female,group E,some college,standard,none,63,68,74
male,group D,high school,standard,completed,82,83,81
female,group D,high school,standard,none,64,64,68
female,group E,some high school,standard,none,46,59,55
male,group C,high school,standard,completed,73,71,68
female,group B,high school,standard,none,68,78,78
female,group C,high school,standard,completed,86,97,98
male,group D,some high school,standard,none,81,79,71
female,group D,some college,standard,none,58,65,71
